path,git_status,tracked,exists,bytes,sha256,git_blob,disposition,captured
.editorconfig,  ,True,True,33,3b2c749c8a940905a08f727d8be9017c9568a12421c0aee7e37e9543b3751b1b,f28239ba52858394ae47b28ba1602bbd54baa833,preserve_poc_source_or_project_evidence,True
.gitattributes,  ,True,True,80,21b01a606c9f85f18bb9230245f00ab104df7409cbb2fe9423f6751ca72ba754,8ad74f78d9c9b9b8f3d68772c6d5aa0cb3fe47e9,preserve_poc_source_or_project_evidence,True
.gitignore,  ,True,True,262,5f32ea45d0127c0ac6b547d13a41624fb443629f241281e227fdd79a87fccd6b,576af63f9ef249ce2224b7d2f99311bda0a6bea2,preserve_poc_source_or_project_evidence,True
.profiles/pol_focus_hamlet/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,526,a1477e7cdd37088b99048449a0f79fd28598698d754133b82e25c4dadbc923fe,dc08a84de757ea9ebafb9326579bead6d277ed5f,preserve_historical_test_profile,True
.profiles/pol_focus_hamlet/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,09985776119a4622be18815fb4470f2e0e9b05eba702f6f9e94a7ea4ad380f8c,62fa759bead47cbab7be06e3bb159f4b59d5cf93,preserve_historical_test_profile,True
.profiles/pol_focus_political/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,429,b2cd0bad460e8a5401e12782be99ff102ef7fd0a73c41d14e3da3bb742116b08,a38c98d2580af761c55a0192ec865296af532a26,preserve_historical_test_profile,True
.profiles/pol_focus_political/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,09985776119a4622be18815fb4470f2e0e9b05eba702f6f9e94a7ea4ad380f8c,62fa759bead47cbab7be06e3bb159f4b59d5cf93,preserve_historical_test_profile,True
.profiles/pol_focus_social/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,435,42ba8664545635b6be7e072e71bac652f096ce158478d98dda44afca5595d1e5,0593db3318f64ca21a30c10b930f638e93945ee9,preserve_historical_test_profile,True
.profiles/pol_focus_social/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,09985776119a4622be18815fb4470f2e0e9b05eba702f6f9e94a7ea4ad380f8c,62fa759bead47cbab7be06e3bb159f4b59d5cf93,preserve_historical_test_profile,True
.profiles/pol_preflight_political/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,429,b2cd0bad460e8a5401e12782be99ff102ef7fd0a73c41d14e3da3bb742116b08,a38c98d2580af761c55a0192ec865296af532a26,preserve_historical_test_profile,True
.profiles/pol_preflight_political/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,894c1a22ccc9b7c2a868baad62c3172fce3e79736b3faa81adcc2ecdaa579125,9a3fd82286a889f7af4af7ac9fd8ebc01c018e96,preserve_historical_test_profile,True
.profiles/pol_preflight_save/AppData/Roaming/Godot/app_userdata/Leyforge/leyforge_release_report.json,  ,True,True,1118,0717c738c2be592bcc8c08eaec94f8c0e71a66f1c75267577ab7584a81e07e03,6c5c680f9745a5e6d978e057820daef46552d6cb,preserve_historical_test_profile,True
.profiles/pol_preflight_save/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,670,3dc39479ddc812db0479a02f73a2f12f5671cfa8586765be9ee65e13d1124d96,e5341a6e2bb6880082a1afdf8e49927e54afebf7,preserve_historical_test_profile,True
.profiles/pol_preflight_save/AppData/Roaming/Godot/app_userdata/Leyforge/profile.backup.json,  ,True,True,1944,f501e664b0cac6e36c112fbdd343a0b3c4f0c6d13237c380bcb0207411a8c597,e232e0ef65ecd52115ccf060a926aff48984fe84,preserve_historical_test_profile,True
.profiles/pol_preflight_save/AppData/Roaming/Godot/app_userdata/Leyforge/profile.json,  ,True,True,1940,efc9bb30ac10fade7642841d7d60bf1bdbef86bbad1dcd855e46115a5e84ac79,76b2e9b37b90e8caa2c5e986f156308396bdf3ec,preserve_historical_test_profile,True
.profiles/pol_preflight_save/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,5e615f34cfbcf7076a471772f1ffd34c75f5c6aaad4786d21ec1b3eb2193f014,ad5ceb3c0554bd94c429bc74d52c7e76a797b764,preserve_historical_test_profile,True
.profiles/pol_strength_automation/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,526,4475e0a298c3f3962e8de256cae8ab98014d4fb87721e44e835c9b0b5aa44ec9,dc8c16a1b2042650be3f9c47a9fe83d0a85ed995,preserve_historical_test_profile,True
.profiles/pol_strength_automation/AppData/Roaming/Godot/app_userdata/Leyforge/worlds/.legacy_import_complete,  ,True,True,35,39eaaa0fca438823327000712cb67d7ce74752ac9aceca6db89323ffa40c81f7,c2c5bcbfdc1134a2b16b8c96842ec5fec1e8ae29,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/leyforge_release_report.json,  ,True,True,1121,efca97fe7ec5e6ceead2e7e14403277e8893f144fc08d39f8bfb4e56e1195d22,cfe9b39b6a26747acfb0bec2b0932e2f049e6bdf,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/logs/godot.log,  ,True,True,1507,2b3999bb386e24ba87f78e99c537617e297790052095f489be7f1572542a5a5d,bbfe289f79195c87eb5bfb4bdc14af819ec153b5,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/profile.backup.json,  ,True,True,1947,fb0a930eaabb20bb41cb7fb020659d0d66197459ff19d488b86ed8fcab5d2385,e9c27b6412726d7a73fe395747ebc6065f6a72c3,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/profile.json,  ,True,True,1947,fb0a930eaabb20bb41cb7fb020659d0d66197459ff19d488b86ed8fcab5d2385,e9c27b6412726d7a73fe395747ebc6065f6a72c3,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/verification_stage_a_worlds_56978675/world-1786338129-19af14e4/metadata.backup.json,  ,True,True,1960,76140f5c18184d18d77ac9821fc60137592eb6fff18db93b951c49089b9c5d1a,cdb231d2ab44a387080cb3012bd9e1974fca9a75,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/verification_stage_a_worlds_56978675/world-1786338129-19af14e4/metadata.json,  ,True,True,1967,8d038f18d1df16f4ea55de8373beb993b6d01cdc4be6d4ba614bdf37cd20b2e7,5d8be6f428daf1c569020665ea1a26a7483f05aa,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/verification_stage_a_worlds_56978675/world-1786338129-19af14e4/world.json,  ,True,True,517781,c8e101a82e8f021411129d2c57b790c1d742cda0be4f067b443c162c73007833,18990678c0d253669e4ca9e46d97c8f09826f3bd,preserve_historical_test_profile,True
.profiles/pol_strength_lifecycle/AppData/Roaming/Godot/app_userdata/Leyforge/verification_stage_a_worlds_56978675/world-1786338129-759f4215/metadata.backup.json,  ,True,True,1960,002ea0f291592de523e8ddec69141d8ff121796ba4af131acd1b4f498b9cbc22,b8e0159aa162f68e3b45455fdcfa7dcf39bedb5f,preserve_historical_test_profile,True
